state_abbreviation,tax_code,unique_tax_id,tax_name,sub_tax_desc
PA,TAX1030,42-027-1216122-EIT-183602,"Curtin, TWP of - EIT",MUNICIPAL
PA,TAX1030,42-027-1216122-EIT-183602,"Curtin, TWP of - EIT",SCHOOL
PA,TAX334,42-001-1215776-EIT-011603,"Berwick, TWP of - EIT",MUNICIPAL
PA,TAX334,42-001-1215776-EIT-011603,"Berwick, TWP of - EIT",SCHOOL
PA,TAX5008,42-029-1215075-LST-156503,"Parkesburg, BORO of - LST",MUNICIPAL
PA,TAX5008,42-029-1215075-LST-156503,"Parkesburg, BORO of - LST",SCHOOL
PA,TAX1141,42-125-1217189-EIT-633903,"Donegal, TWP of - EIT (633903)",MUNICIPAL
PA,TAX1141,42-125-1217189-EIT-633903,"Donegal, TWP of - EIT (633903)",SCHOOL
PA,TAX5517,42-047-1215203-EIT-248003,Saint Marys City - EIT,MUNICIPAL
PA,TAX5517,42-047-1215203-EIT-248003,Saint Marys City - EIT,SCHOOL
PA,TAX2712,42-067-1216583-EIT-343603,"Lack, TWP of - EIT",MUNICIPAL
PA,TAX2712,42-067-1216583-EIT-343603,"Lack, TWP of - EIT",SCHOOL
PA,TAX2048,42-115-1215611-EIT-584603,"Hop Bottom, BORO of - EIT",MUNICIPAL
PA,TAX2048,42-115-1215611-EIT-584603,"Hop Bottom, BORO of - EIT",SCHOOL
PA,TAX2999,42-111-1217054-LST-568404,"Lower Turkeyfoot, TWP of-LST",MUNICIPAL
