state_abbreviation,tax_code,unique_tax_id,tax_name,sub_tax_desc
PA,TAX2852,42-117-1217115-EIT-597003,"Liberty, TWP of - EIT (597003)",SCHOOL
PA,TAX5949,42-021-1216094-EIT-112502,"Stonycreek, TWP of - EIT (112502)",MUNICIPAL
PA,TAX5949,42-021-1216094-EIT-112502,"Stonycreek, TWP of - EIT (112502)",SCHOOL
PA,TAX3149,42-107-1215553-LST-403302,"McAdoo, BORO of - LST",MUNICIPAL
PA,TAX3149,42-107-1215553-LST-403302,"McAdoo, BORO of - LST",SCHOOL
PA,TAX3811,42-079-1215403-LST-401403,"Nuangola, BORO of - LST",MUNICIPAL
PA,TAX3811,42-079-1215403-LST-401403,"Nuangola, BORO of - LST",SCHOOL
PA,TAX6684,42-079-1215413-LST-409203,"West Pittston, BORO of - LST",MUNICIPAL
PA,TAX6684,42-079-1215413-LST-409203,"West Pittston, BORO of - LST",SCHOOL
PA,TAX5237,42-107-1215564-LST-546103,"Port Carbon, BORO of - LST",MUNICIPAL
PA,TAX5237,42-107-1215564-LST-546103,"Port Carbon, BORO of - LST",SCHOOL
PA,TAX1439,42-069-1216596-EIT-356503,"Elmhurst, TWP of - EIT",MUNICIPAL
PA,TAX1439,42-069-1216596-EIT-356503,"Elmhurst, TWP of - EIT",SCHOOL
PA,TAX6681,42-125-1217212-EIT-631503,"West Pike Run, TWP of - EIT",MUNICIPAL
PA,TAX6681,42-125-1217212-EIT-631503,"West Pike Run, TWP of - EIT",SCHOOL
PA,TAX405,42-033-1216225-LST-172003,"Bloom, TWP of - LST",MUNICIPAL
PA,TAX405,42-033-1216225-LST-172003,"Bloom, TWP of - LST",SCHOOL
PA,TAX5352,42-107-1217013-EIT-544703,"Reilly, TWP of - EIT",MUNICIPAL
PA,TAX5352,42-107-1217013-EIT-544703,"Reilly, TWP of - EIT",SCHOOL
PA,TAX224,42-053-1216451-LST-272003,"Barnett, TWP of - LST (272003)",MUNICIPAL
PA,TAX224,42-053-1216451-LST-272003,"Barnett, TWP of - LST (272003)",SCHOOL
PA,TAX3156,42-057-1215249-EIT-291304,"McConnellsburg, BORO of - EIT",MUNICIPAL
PA,TAX3156,42-057-1215249-EIT-291304,"McConnellsburg, BORO of - EIT",SCHOOL
PA,TAX3706,42-095-1215498-EIT-484903,"Northampton, BORO of - EIT",MUNICIPAL
PA,TAX3706,42-095-1215498-EIT-484903,"Northampton, BORO of - EIT",SCHOOL
PA,TAX1779,42-015-1215980-EIT-086653,"Granville, TWP of - EIT (086653)",MUNICIPAL
PA,TAX1779,42-015-1215980-EIT-086653,"Granville, TWP of - EIT (086653)",SCHOOL
PA,TAX5474,42-043-1215170-LST-226003,"Royalton, BORO of - LST",MUNICIPAL
PA,TAX5474,42-043-1215170-LST-226003,"Royalton, BORO of - LST",SCHOOL
PA,TAX1952,42-065-1216561-LST-330803,"Heath, TWP of - LST",MUNICIPAL
PA,TAX1952,42-065-1216561-LST-330803,"Heath, TWP of - LST",SCHOOL
PA,TAX5890,42-015-1215994-LST-086653,"Springfield, TWP of - LST (086653)",MUNICIPAL
PA,TAX5890,42-015-1215994-LST-086653,"Springfield, TWP of - LST (086653)",SCHOOL
PA,TAX6716,42-029-1216198-LST-159002,"West Whiteland, TWP of - LST",MUNICIPAL
PA,TAX6716,42-029-1216198-LST-159002,"West Whiteland, TWP of - LST",SCHOOL
PA,TAX837,42-033-1215097-EIT-173003,"Coalport, BORO of - EIT",MUNICIPAL
PA,TAX837,42-033-1215097-EIT-173003,"Coalport, BORO of - EIT",SCHOOL
PA,TAX3599,42-111-1215593-EIT-566303,"New Centerville, BORO of-EIT",MUNICIPAL
PA,TAX3599,42-111-1215593-EIT-566303,"New Centerville, BORO of-EIT",SCHOOL
PA,TAX6252,42-027-1215064-EIT-141003,"Unionville, BORO of - EIT",MUNICIPAL
PA,TAX6252,42-027-1215064-EIT-141003,"Unionville, BORO of - EIT",SCHOOL
PA,TAX2892,42-015-1215983-EIT-086003,"Litchfield, TWP of - EIT",MUNICIPAL
PA,TAX2892,42-015-1215983-EIT-086003,"Litchfield, TWP of - EIT",SCHOOL
PA,TAX3077,42-133-1217297-EIT-676403,"Manheim, TWP of - EIT (676403)",MUNICIPAL
PA,TAX3077,42-133-1217297-EIT-676403,"Manheim, TWP of - EIT (676403)",SCHOOL
